AngleName,Scenario,Signal,N,MeanAngleError,MeanSignalValue
RightHip,Unclassified,pair_conf_min,1174,15.937545586739175,0.700677980541291
RightHip,Baseline,stereo_quality_min,365,14.727425578725738,0.5410146506526343
RightHip,Occlusion,stereo_quality_min,370,16.951014008491104,0.37753757070864513
RightHip,Environmental Interference,stereo_quality_min,282,19.612634499391053,0.5881921063656221
RightHip,Unclassified,stereo_quality_min,1174,15.937545586739175,0.5504998197722912
RightHip,Baseline,reprojection_error_max,364,14.629854674133638,2.0598650369683833
RightHip,Occlusion,reprojection_error_max,369,16.90504828764741,2.5424328922034696
RightHip,Environmental Interference,reprojection_error_max,282,19.612634499391053,1.5298621493880131
RightHip,Unclassified,reprojection_error_max,1173,15.939735985264194,1.7270139395926345
RightHip,Baseline,epipolar_error_max,365,14.727425578725738,7.048008741737193
RightHip,Occlusion,epipolar_error_max,370,16.951014008491104,8.486545364027894
RightHip,Environmental Interference,epipolar_error_max,282,19.612634499391053,3.4802505479860955
RightHip,Unclassified,epipolar_error_max,1174,15.937545586739175,4.1141914304192735
RightHip,Baseline,detect_conf_min,359,14.151550421247027,0.8884163498359636
RightHip,Occlusion,detect_conf_min,360,16.89877008875203,0.6241345920781087
RightHip,Environmental Interference,detect_conf_min,280,19.6520354495263,0.9354836195707321
RightHip,Unclassified,detect_conf_min,1171,15.905741393510217,0.9450640777644107
RightHip,Baseline,temporal_rescue_fraction,366,14.89268399160107,0.08105646630236793
RightHip,Occlusion,temporal_rescue_fraction,370,16.951014008491104,0.18018018018018014
RightHip,Environmental Interference,temporal_rescue_fraction,282,19.612634499391053,0.07683215130023639
RightHip,Unclassified,temporal_rescue_fraction,1184,16.05020585178065,0.06672297297297297
LeftKnee,Baseline,pair_conf_min,363,14.002126080681164,0.6333926608770636
LeftKnee,Occlusion,pair_conf_min,371,32.44652308735044,0.44668602262341933
LeftKnee,Environmental Interference,pair_conf_min,282,21.75898235309163,0.6537122131808321
LeftKnee,Unclassified,pair_conf_min,1173,13.668434852723752,0.6654359287795825
LeftKnee,Baseline,stereo_quality_min,363,14.002126080681164,0.49043463130254983
LeftKnee,Occlusion,stereo_quality_min,371,32.44652308735044,0.3183738891338774
LeftKnee,Environmental Interference,stereo_quality_min,282,21.75898235309163,0.5518703756594628
LeftKnee,Unclassified,stereo_quality_min,1173,13.668434852723752,0.5199474031046429
LeftKnee,Baseline,reprojection_error_max,354,14.148284410943269,2.2902702925823744
LeftKnee,Occlusion,reprojection_error_max,367,31.980169433595062,3.205155519912618
LeftKnee,Environmental Interference,reprojection_error_max,281,21.812029910467924,1.579261010598949
LeftKnee,Unclassified,reprojection_error_max,1166,13.59727296066668,1.911392138722445
LeftKnee,Baseline,epipolar_error_max,363,14.002126080681164,13.634795834551507
LeftKnee,Occlusion,epipolar_error_max,371,32.44652308735044,12.193692185335644
LeftKnee,Environmental Interference,epipolar_error_max,282,21.75898235309163,4.868902723168784
LeftKnee,Unclassified,epipolar_error_max,1173,13.668434852723752,5.179192095558804
LeftKnee,Baseline,detect_conf_min,358,13.910936591775922,0.8220275609029519
LeftKnee,Occlusion,detect_conf_min,361,32.224559885316026,0.5743358294912317
LeftKnee,Environmental Interference,detect_conf_min,280,21.779888189985208,0.7978506992895356
LeftKnee,Unclassified,detect_conf_min,1171,13.621950025423267,0.8751179976976232
LeftKnee,Baseline,temporal_rescue_fraction,364,13.980319048575064,0.10164835164835165
LeftKnee,Occlusion,temporal_rescue_fraction,371,32.44652308735044,0.21473495058400716
LeftKnee,Environmental Interference,temporal_rescue_fraction,282,21.75898235309163,0.11820330969267137
LeftKnee,Unclassified,temporal_rescue_fraction,1183,13.887322985198123,0.0994646379261764
RightKnee,Baseline,pair_conf_min,363,17.950622552763697,0.6356581499450922
RightKnee,Occlusion,pair_conf_min,333,25.794265417771285,0.5105329825685628
RightKnee,Environmental Interference,pair_conf_min,282,20.18790774997788,0.6638124031472777
RightKnee,Unclassified,pair_conf_min,1164,12.558466270261329,0.6697425014443972
RightKnee,Baseline,stereo_quality_min,363,17.950622552763697,0.49877003990582314
RightKnee,Occlusion,stereo_quality_min,333,25.794265417771285,0.3887915528661883
RightKnee,Environmental Interference,stereo_quality_min,282,20.18790774997788,0.5510764802174535
RightKnee,Unclassified,stereo_quality_min,1164,12.558466270261329,0.5190765192298233
