angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,6,reprojection_error_max,high,60.0,2542,479,0.1884343036978757,0.0,1.0,0.0,0.1884343036978757,nan,nan
LeftElbow,1,reprojection_error_max,high,80.0,2582,161,0.06235476374903176,0.0,1.0,0.0,0.06235476374903176,nan,nan
LeftElbow,6,reprojection_error_max,high,80.0,2542,479,0.1884343036978757,0.0,1.0,0.0,0.1884343036978757,nan,nan
RightElbow,1,detect_conf_min,low,0.1,2609,141,0.0540436949022614,0.004982752012265236,0.9950172479877347,0.0,0.05431432973805855,0.0,0.0
RightElbow,6,detect_conf_min,low,0.1,2571,512,0.19914430182808246,0.003500583430571762,0.9964994165694282,0.0078125,0.19828259172521467,0.4444444444444444,2.231770833333333
RightElbow,1,detect_conf_min,low,0.2,2609,141,0.0540436949022614,0.012265235722499043,0.987734764277501,0.0,0.05471478463329453,0.0,0.0
RightElbow,6,detect_conf_min,low,0.2,2571,512,0.19914430182808246,0.012835472578763127,0.9871645274212368,0.017578125,0.19818754925137905,0.2727272727272727,1.3694957386363635
RightElbow,1,detect_conf_min,low,0.3,2609,141,0.0540436949022614,0.02108087389804523,0.9789191261019548,0.014184397163120567,0.05442443226311668,0.03636363636363636,0.672856221792392
RightElbow,6,detect_conf_min,low,0.3,2571,512,0.19914430182808246,0.023337222870478413,0.9766627771295215,0.03125,0.19753086419753085,0.26666666666666666,1.3390625
RightElbow,1,detect_conf_min,low,0.4,2609,141,0.0540436949022614,0.03794557301648141,0.9620544269835186,0.04964539007092199,0.05338645418326693,0.0707070707070707,1.3083315423740955
RightElbow,6,detect_conf_min,low,0.4,2571,512,0.19914430182808246,0.04161804745235317,0.9583819525476468,0.060546875,0.19521103896103897,0.2897196261682243,1.4548225759345794
RightElbow,1,detect_conf_min,low,0.5,2609,141,0.0540436949022614,0.07205825986968187,0.9279417401303182,0.0851063829787234,0.05328376703841388,0.06382978723404255,1.1810774105930284
RightElbow,6,detect_conf_min,low,0.5,2571,512,0.19914430182808246,0.08556981719175417,0.9144301828082458,0.13671875,0.18800510421097405,0.3181818181818182,1.5977450284090908
RightElbow,1,detect_conf_min,low,0.6,2609,141,0.0540436949022614,0.1161364507474128,0.8838635492525871,0.19858156028368795,0.049002601908065914,0.0924092409240924,1.709898649439412
RightElbow,6,detect_conf_min,low,0.6,2571,512,0.19914430182808246,0.1423570595099183,0.8576429404900817,0.255859375,0.1727891156462585,0.35792349726775957,1.7973072489754098
RightElbow,1,pair_conf_min,low,0.1,2609,141,0.0540436949022614,0.0022997316979685703,0.9977002683020314,0.0,0.05416826738378794,0.0,0.0
RightElbow,6,pair_conf_min,low,0.1,2571,512,0.19914430182808246,0.0019447685725398677,0.9980552314274601,0.0,0.1995323460639127,0.0,0.0
RightElbow,1,pair_conf_min,low,0.2,2609,141,0.0540436949022614,0.017247987734764277,0.9827520122652357,0.0070921985815602835,0.054602184087363496,0.022222222222222223,0.41118991331757293
RightElbow,6,pair_conf_min,low,0.2,2571,512,0.19914430182808246,0.018280824581874758,0.9817191754181253,0.01953125,0.1988906497622821,0.2127659574468085,1.0684009308510638
RightElbow,1,pair_conf_min,low,0.3,2609,141,0.0540436949022614,0.04906094288999617,0.9509390571100038,0.0851063829787234,0.05199516324062878,0.09375,1.7347074468085106
RightElbow,6,pair_conf_min,low,0.3,2571,512,0.19914430182808246,0.056398288603656165,0.9436017113963439,0.083984375,0.19332234130255566,0.296551724137931,1.489129849137931
RightElbow,1,pair_conf_min,low,0.4,2609,141,0.0540436949022614,0.12188577999233423,0.8781142200076658,0.23404255319148937,0.04714098646879092,0.10377358490566038,1.9201793121905528
RightElbow,6,pair_conf_min,low,0.4,2571,512,0.19914430182808246,0.13730066122131465,0.8626993387786853,0.228515625,0.17808836789900812,0.3314447592067989,1.664344679532578
RightElbow,1,pair_conf_min,low,0.5,2609,141,0.0540436949022614,0.23572249904177847,0.7642775009582216,0.48936170212765956,0.03610832497492478,0.11219512195121951,2.0760076111399415
RightElbow,6,pair_conf_min,low,0.5,2571,512,0.19914430182808246,0.2637106184364061,0.7362893815635939,0.451171875,0.14844162704701533,0.3407079646017699,1.7108597206858405
RightElbow,1,pair_conf_min,low,0.6,2609,141,0.0540436949022614,0.3112303564584132,0.6887696435415868,0.6595744680851063,0.02671118530884808,0.1145320197044335,2.1192485064458655
RightElbow,6,pair_conf_min,low,0.6,2571,512,0.19914430182808246,0.3453908984830805,0.6546091015169195,0.54296875,0.13903743315508021,0.3130630630630631,1.572041279560811
RightElbow,1,stereo_quality_min,low,0.05,2609,141,0.0540436949022614,0.051360674587964734,0.9486393254120352,0.14184397163120568,0.04888888888888889,0.14925373134328357,2.7617232984016087
RightElbow,6,stereo_quality_min,low,0.05,2571,512,0.19914430182808246,0.06417736289381563,0.9358226371061844,0.123046875,0.18661679135494597,0.38181818181818183,1.9172940340909093
RightElbow,1,stereo_quality_min,low,0.1,2609,141,0.0540436949022614,0.08892295898811806,0.9110770410118819,0.19858156028368795,0.04753891459823307,0.1206896551724138,2.2331865981902665
RightElbow,6,stereo_quality_min,low,0.1,2571,512,0.19914430182808246,0.10579541034616881,0.8942045896538312,0.197265625,0.17877337973031754,0.3713235294117647,1.8645953010110294
RightElbow,1,stereo_quality_min,low,0.2,2609,141,0.0540436949022614,0.1625143733231123,0.8374856266768878,0.3475177304964539,0.042105263157894736,0.11556603773584906,2.138381506757661
RightElbow,6,stereo_quality_min,low,0.2,2571,512,0.19914430182808246,0.19136522753792298,0.808634772462077,0.33984375,0.16257816257816257,0.35365853658536583,1.7758908155487805
